text,policy_id
Necesito iniciar el trámite de vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Necesito iniciar el trámite de vacaciones para Ale Mateos-Vazquez,000a3793-827e-4616-84f9-0a23863e0a35
Quiero solicitar vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Quiero solicitar vacaciones para Darío del Águila,000a3793-827e-4616-84f9-0a23863e0a35
Cómo hago para pedir vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Cómo hago para pedir vacaciones para Nazaret Falcón,000a3793-827e-4616-84f9-0a23863e0a35
Ayuda con vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Ayuda con vacaciones para Ale Vilar Pina,000a3793-827e-4616-84f9-0a23863e0a35
Trámite de vacaciones por favor,000a3793-827e-4616-84f9-0a23863e0a35
Trámite de vacaciones por favor para Jose Francisco Ribas Tejera,000a3793-827e-4616-84f9-0a23863e0a35
Deseo tramitar vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Deseo tramitar vacaciones para Claudio Ramiro Lara Valero,000a3793-827e-4616-84f9-0a23863e0a35
Requiero vacaciones urgente,000a3793-827e-4616-84f9-0a23863e0a35
Requiero vacaciones urgente para Anita Eligia Requena Romeu,000a3793-827e-4616-84f9-0a23863e0a35
Me gustaría iniciar el proceso de vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Me gustaría iniciar el proceso de vacaciones para Loreto Antón Catalán,000a3793-827e-4616-84f9-0a23863e0a35
vacaciones es lo que busco,000a3793-827e-4616-84f9-0a23863e0a35
vacaciones es lo que busco para Rodolfo Marcelo Cabanillas Llorens,000a3793-827e-4616-84f9-0a23863e0a35
Quiero abrir una solicitud para vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Quiero abrir una solicitud para vacaciones para Almudena Vendrell Marqués,000a3793-827e-4616-84f9-0a23863e0a35
"Por favor, necesito vacaciones",000a3793-827e-4616-84f9-0a23863e0a35
"Por favor, necesito vacaciones para Estrella Elisa Valenzuela Anguita",000a3793-827e-4616-84f9-0a23863e0a35
Quisiera gestionar vacaciones para este mes,000a3793-827e-4616-84f9-0a23863e0a35
Quisiera gestionar vacaciones para este mes para Eladio de Lluch,000a3793-827e-4616-84f9-0a23863e0a35
Me hace falta iniciar vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Me hace falta iniciar vacaciones para Hortensia Ana Giménez Guzmán,000a3793-827e-4616-84f9-0a23863e0a35
Abrir solicitud de vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Abrir solicitud de vacaciones para Amalia Gómez-Asenjo,000a3793-827e-4616-84f9-0a23863e0a35
Iniciar flujo para vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Iniciar flujo para vacaciones para Calixta Suarez Cabanillas,000a3793-827e-4616-84f9-0a23863e0a35
Tengo un problema con vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Tengo un problema con vacaciones para Lino Pulido Lucas,000a3793-827e-4616-84f9-0a23863e0a35
Cómo puedo solicitar vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Cómo puedo solicitar vacaciones para Jimena Diez-Rey,000a3793-827e-4616-84f9-0a23863e0a35
Deseo registrar vacaciones,000a3793-827e-4616-84f9-0a23863e0a35
Deseo registrar vacaciones para Samuel Vilalta Valcárcel,000a3793-827e-4616-84f9-0a23863e0a35
Necesito iniciar el trámite de días libres,000a3793-827e-4616-84f9-0a23863e0a35
Necesito iniciar el trámite de días libres para Asdrubal Mario Berrocal Robledo,000a3793-827e-4616-84f9-0a23863e0a35
Quiero solicitar días libres,000a3793-827e-4616-84f9-0a23863e0a35
Quiero solicitar días libres para Adelia del Tejera,000a3793-827e-4616-84f9-0a23863e0a35
Cómo hago para pedir días libres,000a3793-827e-4616-84f9-0a23863e0a35
Cómo hago para pedir días libres para Paola Velázquez Real,000a3793-827e-4616-84f9-0a23863e0a35
Ayuda con días libres,000a3793-827e-4616-84f9-0a23863e0a35
Ayuda con días libres para Eva Guitart-Lerma,000a3793-827e-4616-84f9-0a23863e0a35
Trámite de días libres por favor,000a3793-827e-4616-84f9-0a23863e0a35
Trámite de días libres por favor para Oriana Rodrigo,000a3793-827e-4616-84f9-0a23863e0a35
Deseo tramitar días libres,000a3793-827e-4616-84f9-0a23863e0a35
Deseo tramitar días libres para Concepción Iniesta Aguilera,000a3793-827e-4616-84f9-0a23863e0a35
